Linux 6.2.0-37-generic (orange) 	2026年04月01日 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
00时52分40秒  1032   2687422    0.99    0.00    0.00    0.00    0.99     1      0.00      0.00 11860532  135772   0.42      0.00      0.00      0.00       0  node
00时52分40秒  1032   2687578    0.00    0.00    0.00    0.00    0.00     4      8.91      0.00 1173452   80552   0.25      0.00      0.00      0.00       0  node
00时52分40秒  1032   2714096   10.89    1.98    0.00    0.00   12.87    10    159.41      0.00 87387144 1657812   5.08      0.00    629.70      0.00       0  node
00时52分40秒  1032   2714115    0.99    0.99    0.00    0.00    1.98     2      0.00      0.00 1332832  161436   0.49      0.00      0.00      0.00       0  node
00时52分40秒  1032   2738181    0.00    0.99    0.00    0.00    0.99     3      0.00      0.00   19312    6924   0.02     -1.00     -1.00     -1.00       0  sshd
00时52分40秒  1032   2738202    0.00    1.98    0.00    0.00    1.98    10      1.98      0.00   78996   22724   0.07      0.00      0.00      0.00       0  code-cfbea10c5f
00时52分40秒 65534   2800500    0.00    0.00    0.00    0.00    0.00    15      1.98      0.00 1654936   83604   0.26     -1.00     -1.00     -1.00       0  prometheus
00时52分40秒  1032   2872096    0.00    0.99    0.00    0.00    0.99     8     59.41      0.00   16052    7200   0.02      0.00      0.00      0.00       0  pidstat
