Linux 6.2.0-37-generic (orange) 	04/03/26 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
03:29:25        0    596836    0.00    0.99    0.00    0.00    0.99    10      0.00      0.00   12544    2880   0.01     -1.00     -1.00     -1.00       0  sadc
03:29:25      133   1785719    0.00    0.99    0.00    0.00    0.99    10      0.00      0.00 2442348   27012   0.08     -1.00     -1.00     -1.00       0  mysqld
03:29:25     1039   2133227    0.99    0.00    0.00    0.00    0.99     4      0.00      0.00  723088   20488   0.06     -1.00     -1.00     -1.00       0  clash-linux-amd
03:29:25     1032   3461393    0.99    0.99    0.00    0.00    1.98     8      0.00      0.00   21156    9444   0.03     -1.00     -1.00     -1.00       0  sshd
03:29:25     1032   3461412    1.98    0.99    0.00    0.00    2.97     0     51.49      0.00   82772   25860   0.08      0.00      0.00      0.00       0  code-cfbea10c5f
03:29:25     1032   3461491    0.99    0.00    0.00    0.00    0.99    13      0.00      0.00 11942452  220316   0.68      0.00      0.00      0.00       0  node
03:29:25     1032   3461621   20.79    1.98    0.00    0.00   22.77     8   7085.15      0.00 76625988 1299292   3.98      0.00    621.78      0.00       0  node
03:29:25     1032   3462184    2.97    1.98    0.00    0.00    4.95     9    317.82      0.00  678512  125172   0.38      0.00   2372.28    110.89       0  codex
03:29:25     1032   3652054    0.00    0.99    0.00    0.00    0.99     4     31.68      0.00   16448    6560   0.02      0.00      0.00      0.00       0  pidstat
