Linux 6.2.0-37-generic (orange) 	04/03/26 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
01:24:58        0         1    0.99    0.00    0.00    0.00    0.99    10     73.27      0.00   24696   11432   0.04     -1.00     -1.00     -1.00       0  systemd
01:24:58        0        15    0.00    0.99    0.00    0.00    0.99    12      0.00      0.00       0       0   0.00     -1.00     -1.00     -1.00       0  rcu_preempt
01:24:58        0       510    0.00    0.00    0.00    0.00    0.00     6     17.82      0.00  281688  146064   0.45     -1.00     -1.00     -1.00       0  systemd-journal
01:24:58        0    596836    0.00    0.99    0.00    0.00    0.99     6      0.00      0.00   12544    2880   0.01     -1.00     -1.00     -1.00       0  sadc
01:24:58      133   1785719    0.99    0.00    0.00    0.00    0.99    10      0.00      0.00 2442348   27012   0.08     -1.00     -1.00     -1.00       0  mysqld
01:24:58        0   2104106    0.99    0.00    0.00    0.00    0.99     0      0.00      0.00 1244904   10280   0.03     -1.00     -1.00     -1.00       0  frpc
01:24:58     1038   2791376    0.99    0.00    0.00    0.00    0.99    12      0.00      0.00 1282364   51456   0.16     -1.00     -1.00     -1.00       0  mihomo
01:24:58     1032   3461412    0.00    0.00    0.00    0.00    0.00     8     10.89      0.00   82816   26252   0.08      0.00      0.00      0.00       0  code-cfbea10c5f
01:24:58     1032   3461491    0.99    0.00    0.00    0.00    0.99    10      0.00      0.00 11940728  219184   0.67      0.00      0.00      0.00       0  node
01:24:58     1032   3461621    0.99    0.00    0.00    0.00    0.99     6    145.54      0.00 76621032 1293364   3.96      0.00      0.00      0.00       0  node
01:24:58     1032   3461933    0.00    0.99    0.00    0.00    0.99     0      0.00      0.00 1460932  164384   0.50      0.00      0.00      0.00       0  node
01:24:58     1032   3462184    4.95    0.99    0.00    0.00    5.94     9   1787.13      0.00  644124  124316   0.38      0.00    237.62      0.00       0  codex
01:24:58     1032   3619794    0.00    0.99    0.00    0.00    0.99    10     31.68      0.00   16448    6560   0.02      0.00      0.00      0.00       0  pidstat
