Linux 6.2.0-37-generic (orange) 	2026年04月03日 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
22时09分48秒     0    596836    0.00    0.99    0.00    0.00    0.99     8      0.00      0.00   12544    2880   0.01     -1.00     -1.00     -1.00       0  sadc
22时09分48秒   133   1785719    0.99    0.00    0.00    0.00    0.99    10      0.00      0.00 2442348   26852   0.08     -1.00     -1.00     -1.00       0  mysqld
22时09分48秒   472   2800489    2.97    0.00    0.00    0.00    2.97    15      0.00      0.00 1699720  128752   0.39     -1.00     -1.00     -1.00       0  grafana
22时09分48秒  1032   3889253    0.99    0.00    0.00    0.00    0.99     4     39.60      0.00 98015332 1219200   3.74      0.00      0.00      0.00       0  node
22时09分48秒  1032   3889284    0.99    0.00    0.00    0.00    0.99     2    319.80      0.00 1170380   78584   0.24      0.00      0.00      0.00       0  node
22时09分48秒  1032   3901097    0.00    0.99    0.00    0.00    0.99     8     26.73      0.00   16052    7200   0.02      0.00      0.00      0.00       0  pidstat
22时09分48秒  1032   3901102    0.00    0.00    0.00    0.00    0.00     7    110.89      0.00    2796    1600   0.00      0.00      0.00      0.00       0  sh
22时09分48秒  1032   3901103    0.00    0.00    0.00    0.00    0.00     9    284.16      0.00   13032    3840   0.01      0.00      0.00      0.00       0  cpuUsage.sh
22时09分48秒  1032   3901108    0.00    0.00    0.00    0.00    0.00     1    100.99      0.00   11376    2080   0.01      0.00      0.00      0.00       0  sleep
