Linux 6.2.0-37-generic (orange) 	04/03/26 	_x86_64_	(20 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:27:30      108      1260    0.00    0.99    0.00    0.00    0.99    12      0.00      0.00   18712    3520   0.01     -1.00     -1.00     -1.00       0  systemd-oomd
15:27:30        0    881911    0.00    0.00    0.00    0.00    0.00    14     21.78      0.00   15792    9280   0.03     -1.00     -1.00     -1.00       0  sshd
15:27:30      133   1785719    0.00    0.99    0.00    0.00    0.99    10      0.00      0.00 2442348   27012   0.08     -1.00     -1.00     -1.00       0  mysqld
15:27:30      472   2800489    1.98    0.00    0.00    0.00    1.98    14      0.00      0.00 1700248  128112   0.39     -1.00     -1.00     -1.00       0  grafana
15:27:30     1032   3780660    0.00    0.99    0.00    0.00    0.99     3      0.00      0.00   19456    7484   0.02     -1.00     -1.00     -1.00       0  sshd
15:27:30     1032   3780681    0.99    0.99    0.00    0.00    1.98    14      0.00      0.00   79000   22304   0.07      0.00      0.00      0.00       0  code-cfbea10c5f
15:27:30     1032   3780740    0.99    0.00    0.00    0.00    0.99     8      0.00      0.00 11840552  115580   0.35      0.00      0.00      0.00       0  node
15:27:30     1032   3780872    5.94    0.00    0.00    0.00    5.94     6     16.83      0.00 76410656 1143872   3.51      0.00    847.52      0.00       0  node
15:27:30     1032   3780894    0.99    0.00    0.00    0.00    0.99     0      0.00      0.00 1460932  160184   0.49      0.00      0.00      0.00       0  node
15:27:30     1032   3780907    1.98    0.99    0.00    0.00    2.97     6    700.00      0.00  634180  112960   0.35      0.00    867.33    110.89       0  codex
15:27:30     1032   3785896    0.99    0.00    0.00    0.00    0.99     8    444.55      0.00 1099204   71988   0.22      0.00      0.00      0.00       0  node
15:27:30     1032   3801975    0.00    0.99    0.00    0.00    0.99     2     30.69      0.00   16448    6720   0.02      0.00      0.00      0.00       0  pidstat
15:27:30        0   3801976    0.00    0.00    0.00    0.00    0.00     0    592.08      0.00   15920    9280   0.03     -1.00     -1.00     -1.00       0  sshd
15:27:30      129   3801977    0.00    0.00    0.00    0.00    0.00    13    167.33      0.00   15920    6272   0.02     -1.00     -1.00     -1.00       0  sshd
